"sourceId","sourceUrl","sourceReference","finalFilename","alt","title","description","caption","placements","cropFocalPoint","width","height","rights","illustrative","status"
"4297","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-8442325.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-8442325","","","See content-inventory.csv / source capture","not available in public export","940","627","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4289","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-8844580.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-8844580","","","See content-inventory.csv / source capture","not available in public export","940","529","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4237","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-35697086.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-35697086","","","See content-inventory.csv / source capture","not available in public export","940","627","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4230","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-30171478.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-30171478","","","See content-inventory.csv / source capture","not available in public export","940","627","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4220","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-37991776.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-37991776","","","See content-inventory.csv / source capture","not available in public export","867","650","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4205","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-37485307.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-37485307","","","See content-inventory.csv / source capture","not available in public export","940","628","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4196","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-32988651.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-32988651","","","See content-inventory.csv / source capture","not available in public export","940","627","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4176","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-9145395.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-9145395","","","See content-inventory.csv / source capture","not available in public export","940","627","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4168","https://cash4goldanddiamond.com/wp-content/uploads/2026/09/pexels-photo-12194343.jpeg","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","","pexels-photo-12194343","","","See content-inventory.csv / source capture","not available in public export","741","650","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
"4165","https://cash4goldanddiamond.com/wp-content/uploads/2026/07/cash-4-gold-diamonds-jewelry-evaluation-los-angeles.png.png","migration/pre-deployment/wordpress-api/media.json","Resolve using migration/assets.json; direct legacy URL delivery NOT TESTED","Professional jewelry evaluation in Los Angeles with gold, diamonds, designer jewelry and a luxury watch","Cash 4 Gold & Diamonds Jewelry Evaluation Los Angeles","","","See content-inventory.csv / source capture","not available in public export","1734","907","UNVERIFIED — original use does not prove reuse rights","UNVERIFIED","BLOCKED — source-media count and rights reconciliation incomplete"
