"source","finalDestination","status","reason","approval","queryStringPolicy","implementationLayer","testResult","evidence"
"/faq/","/faqs/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/about/","/about-us-sell-gold-and-diamonds-online/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/best-place-to-sell-jewelry-in-los-angeles/","/best-place-to-sell-jewelry-los-angeles/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/start-selling/","/start-selling-gold-and-diamonds/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/sell-your-diamond/","/sell-your-diamonds-in-los-angeles/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/10k-gold-price-per-gram-at-a-pawn-shop-everything-you-need-to-know/","/10k-gold-price-per-gram-pawn-shop/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/free-diamond-appraisal-los-angeles/","/free-diamond-appraisal-same-day-cash/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/rolex-day-date-gold-market-2026-for-buyer/","/rolex-day-date-gold-market-analysis-2026-pricing-demand-trends/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/sell-your-gold/","/sell-your-golds/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/cash-for-gold-sell-your-gold-and-dramonds-usa/","/sell-gold-and-diamonds-online/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/fake-vs-real-rolex-how-to-spot-fake-rolex-in-easy-step/","/how-to-spot-a-fake-rolex/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/author/navid-lalezari/page/1/","/author/navid-lalezari/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/e-commerce-retail/page/1/","/e-commerce-retail/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/cash-for-gold/page/1/","/cash-for-gold/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/uncut-diamond-buyers-los-angeles/","/large-diamond-buyer-los-angeles/","301","Existing preserved route-migrations mapping","See original migration records and owner buying-scope correction; final URL disposition review pending","Preserve attribution where supported; actual Cloudflare behavior NOT TESTED","Cloudflare static asset _redirects; Astro preview emits fallback redirect HTML","Mapping/cycle/target checks pass; actual Cloudflare HTTP 301 BLOCKED","src/lib/route-migrations.mjs; tests/release-policy.test.mjs; cloudflare-local-runtime.log"
"/sell-your-gemstone/","/sell-gemstones-for-cash-in-los-angeles/","301","Authenticated active Rank Math redirect; destination preserved","Owner final content/canonical acceptance pending","Actual protected Cloudflare redirect/query behavior pending","Cloudflare static asset _redirects; Astro fallback redirect HTML","Local routing, destination and cycle checks PASS; full final CI pending","reports/RANK_MATH_AUTHENTICATED_FOLLOWUP_2026-09-11.md"
"/sell-your-watches/","/sell-luxury-watches-in-los-angeles/","301","Authenticated active Rank Math redirect; destination preserved","Owner final content/canonical acceptance pending","Actual protected Cloudflare redirect/query behavior pending","Cloudflare static asset _redirects; Astro fallback redirect HTML","Local routing, destination and cycle checks PASS; full final CI pending","reports/RANK_MATH_AUTHENTICATED_FOLLOWUP_2026-09-11.md"
"/best-gold-buyers-los-angeles/","/best-gold-jewelry-buyers-los-angeles-2026/","301","Authenticated Rank Math export; preserve existing canonical and avoid live cycle","Owner final content/canonical acceptance pending","Actual protected Cloudflare redirect/query behavior pending","Cloudflare static asset _redirects; Astro fallback redirect HTML","Local routing, destination and cycle checks PASS; full final CI pending","reports/RANK_MATH_AUTHENTICATED_FOLLOWUP_2026-09-11.md"
