URL,Page Type,Primary Topic,Primary Search Intent,Target Service/Category,LA/Local Relevance,Title,H1,Canonical,Indexability,Content Depth,Internal Links In,Internal Links Out,CTA Present,Author/Expertise Signals,External Citations,Freshness,Cannibalization Group,Recommended Action
https://cash4goldanddiamond.com/best-gemstone-ring-buyers-los-angeles/,Supporting article,"Sell a Large, High-Quality Gemstone Ring in Los Angeles","Prepare a colored-stone ring for an in-person purchase evaluation, including uncertainty about identification and treatment.",/sell-gemstones-for-cash-in-los-angeles/,Yes,"Sell a Large, High-Quality Gemstone Ring in Los Angeles","Sell a Large, High-Quality Gemstone Ring in Los Angeles",https://cash4goldanddiamond.com/best-gemstone-ring-buyers-los-angeles/,"Indexable (follow, index)",811 words - Deep (800+ words),79,15,Yes,"Byline: ""Navid · September 8, 2026""; schema: BlogPosting","2 (www.gia.edu, 4cs.gia.edu)",2026-09-10T13:50:17.808Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/,Homepage,"Downtown LA Gold, Diamond & Rolex Buyer | Cash 4 Gold & Diamonds",Gold Buyer Los Angeles | Cash 4 Gold & Diamonds,All services (homepage),Yes,"Sell Gold, Diamonds & Watches in LA | Cash 4 Gold & Diamonds","Sell Gold, Diamonds & Luxury Watches in Los Angeles",https://cash4goldanddiamond.com/,"Indexable (follow, index)",570 words - Moderate (300-800 words),202,16,Yes,No visible byline; schema: WebPage,1 (www.google.com),No article:modified_time/published_time meta found,None detected (nearest text peer below 0.15 similarity threshold),NOT PREVIOUSLY REVIEWED - needs manual editorial pass before any action
https://cash4goldanddiamond.com/sell-luxury-watch-same-day-cash-los-angeles/,Supporting article,Selling a Luxury Watch in Los Angeles: Timing & Payment,Explain what a time-sensitive luxury-watch seller should confirm before visiting and accepting payment.,/sell-luxury-watches-in-los-angeles/,Yes,Selling a Luxury Watch in Los Angeles: Timing & Payment,Selling a Luxury Watch in Los Angeles: Timing & Payment,https://cash4goldanddiamond.com/sell-luxury-watch-same-day-cash-los-angeles/,"Indexable (follow, index)",773 words - Moderate (300-800 words),3,16,Yes,"Byline: ""Navid · August 28, 2026""; schema: BlogPosting",1 (www.rolex.com),2026-09-09T22:52:15.992Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/gold-coins-buyer-near-me-downtown/,Supporting article,Gold Coin Buyers in Downtown LA: Preparing Your Collection,Organize a single gold coin or large mixed gold-and-silver collection before a Downtown LA appointment.,/sell-your-golds/,Yes,Gold Coin Buyers in Downtown LA: Preparing Your Collection,Gold Coin Buyers in Downtown LA: Preparing Your Collection,https://cash4goldanddiamond.com/gold-coins-buyer-near-me-downtown/,"Indexable (follow, index)",710 words - Moderate (300-800 words),13,17,Yes,"Byline: ""Navid · June 25, 2026""; schema: BlogPosting","2 (www.usmint.gov, www.gold.org)",2026-09-09T22:52:15.992Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/large-diamond-buyer-los-angeles/,Supporting article,Large Diamond Buyer in Downtown Los Angeles,"Convert the former rough-diamond article to the owner-confirmed large natural polished diamond buying service, accepting any size and any shape.",/sell-your-diamonds-in-los-angeles/,Yes,Large Diamond Buyer in Downtown Los Angeles,Large Diamond Buyer in Downtown Los Angeles,https://cash4goldanddiamond.com/large-diamond-buyer-los-angeles/,"Indexable (follow, index)",723 words - Moderate (300-800 words),14,16,Yes,"Byline: ""Navid · August 14, 2026""; schema: BlogPosting",1 (www.gia.edu),2026-09-10T14:10:51.541Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/gold-buyer-downtown-los-angeles/,Supporting article,Choosing a Gold Buyer in Downtown Los Angeles,Compare gold buyers using like-for-like offers and transparent evaluation criteria.,/sell-your-golds/,Yes,Choosing a Gold Buyer in Downtown Los Angeles,Choosing a Gold Buyer in Downtown Los Angeles,https://cash4goldanddiamond.com/gold-buyer-downtown-los-angeles/,"Indexable (follow, index)",917 words - Deep (800+ words),8,17,Yes,"Byline: ""Navid · July 21, 2026""; schema: BlogPosting","2 (consumer.ftc.gov, www.gold.org)",2026-09-09T22:23:58.447Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/sell-gold-coins-best-price-los-angeles/,Supporting article,Selling Gold Coins in Los Angeles: Compare Purchase Offers,"Compare actual coin offers, distinguishing fine-gold content, collectible premiums and transaction terms.",/sell-your-golds/,Yes,Selling Gold Coins in Los Angeles: Compare Purchase Offers,Selling Gold Coins in Los Angeles: Compare Purchase Offers,https://cash4goldanddiamond.com/sell-gold-coins-best-price-los-angeles/,"Indexable (follow, index)",746 words - Moderate (300-800 words),84,17,Yes,"Byline: ""Navid · September 9, 2026""; schema: BlogPosting","2 (www.usmint.gov, www.gold.org)",2026-09-09T22:52:15.992Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/where-to-sell-fine-jewelry-downtown-los-angeles/,Supporting article,Sell Fine Jewelry in Downtown Los Angeles: What to Bring,"Help Downtown LA sellers prepare fine jewelry as complete objects with materials, maker, condition and documents considered.",/sell-estate-jewelry-los-angeles/,Yes,Sell Fine Jewelry in Downtown Los Angeles: What to Bring,Sell Fine Jewelry in Downtown Los Angeles: What to Bring,https://cash4goldanddiamond.com/where-to-sell-fine-jewelry-downtown-los-angeles/,"Indexable (follow, index)",623 words - Moderate (300-800 words),78,20,Yes,"Byline: ""Navid · September 7, 2026""; schema: BlogPosting","2 (4cs.gia.edu, www.gia.edu)",2026-09-10T03:40:35.476Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/best-price-for-diamonds-in-la/,Supporting article,Comparing Diamond Purchase Offers in Los Angeles,Give diamond sellers a consistent comparison method instead of mixing retail shopping recommendations and resale expectations.,/sell-your-diamonds-in-los-angeles/,Yes,Comparing Diamond Purchase Offers in Los Angeles,Comparing Diamond Purchase Offers in Los Angeles,https://cash4goldanddiamond.com/best-price-for-diamonds-in-la/,"Indexable (follow, index)",652 words - Moderate (300-800 words),12,17,Yes,"Byline: ""Navid · August 10, 2026""; schema: BlogPosting","2 (www.gia.edu, 4cs.gia.edu)",2026-09-10T03:51:40.058Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
https://cash4goldanddiamond.com/best-certified-diamond-appraisers-los-angeles/,Supporting article,Choosing a Diamond Appraiser in Los Angeles: Purpose & Reports,"Choose an appraisal service by its purpose, required scope and verified professional qualifications.",/sell-your-diamonds-in-los-angeles/,Yes,Choosing a Diamond Appraiser in Los Angeles: Purpose & Reports,Choosing a Diamond Appraiser in Los Angeles: Purpose & Reports,https://cash4goldanddiamond.com/best-certified-diamond-appraisers-los-angeles/,"Indexable (follow, index)",755 words - Moderate (300-800 words),77,16,Yes,"Byline: ""Navid · September 6, 2026""; schema: BlogPosting","2 (4cs.gia.edu, www.gia.edu)",2026-09-10T04:38:10.373Z,None detected (nearest text peer below 0.15 similarity threshold),KEEP
